Dimension1,Dimension2,Probability
0.3,0.27,0.011106193
0.3,0.315,0.013508409
0.3,0.36000000000000004,0.017357111
0.3,0.405,0.020569116
0.3,0.45000000000000007,0.024845898
0.3,0.49500000000000005,0.029133528
0.3,0.54,0.038594425
0.33499999999999996,0.27,0.037412137
0.33499999999999996,0.315,0.046221375
0.33499999999999996,0.36000000000000004,0.058119
0.33499999999999996,0.405,0.0724819
0.33499999999999996,0.45000000000000007,0.08510369
0.33499999999999996,0.49500000000000005,0.10475537
0.33499999999999996,0.54,0.11903477
0.37,0.27,0.13430893
0.37,0.315,0.15554959
0.37,0.36000000000000004,0.18934366
0.37,0.405,0.21720016
0.37,0.45000000000000007,0.26978806
0.37,0.49500000000000005,0.29096437
0.37,0.54,0.34524217
0.405,0.27,0.36778992
0.405,0.315,0.43127853
0.405,0.36000000000000004,0.4668023
0.405,0.405,0.528648
0.405,0.45000000000000007,0.56634086
0.405,0.49500000000000005,0.62245196
0.405,0.54,0.67479026
0.44,0.27,0.68097246
0.44,0.315,0.7253983
0.44,0.36000000000000004,0.7593099
0.44,0.405,0.80731416
0.44,0.45000000000000007,0.82967675
0.44,0.49500000000000005,0.86419
0.44,0.54,0.8855926
0.475,0.27,0.88555366
0.475,0.315,0.9088162
0.475,0.36000000000000004,0.92687786
0.475,0.405,0.93669593
0.475,0.45000000000000007,0.9493096
0.475,0.49500000000000005,0.9559504
0.475,0.54,0.9670054
0.51,0.27,0.9691545
0.51,0.315,0.9729049
0.51,0.36000000000000004,0.9783282
0.51,0.405,0.9823719
0.51,0.45000000000000007,0.9858224
0.51,0.49500000000000005,0.98810786
0.51,0.54,0.9905709
